name,country,gender,age,date_of_birth,height,playing_position,ranking,points,image
Agustin Tapia,ARG,Male,26,24/07/1999,1.79,Left,2023,0,https://www.padelfip.com/wp-content/uploads/2023/02/Agustin-Tapia-2.png
Arturo Coello,ESP,Male,23,08/03/2002,1.90,Right,2023,0,https://www.padelfip.com/wp-content/uploads/2023/02/Arturo-Coello-2.png
Alejandro Galan,ESP,Male,29,15/05/1996,1.86,Left,2023,0,https://www.padelfip.com/wp-content/uploads/2023/02/Alejandro-Galan.png
Federico Chingotto,ARG,Male,28,13/04/1997,1.70,Right,2023,0,https://www.padelfip.com/wp-content/uploads/2023/02/Federico-Chingotto-2.png
Franco Stupaczuk,ARG,Male,29,25/03/1996,1.80,Left,2023,0,https://www.padelfip.com/wp-content/uploads/2023/02/Stupaczuk-1.png
Juan Lebron,ESP,Male,31,31/01/1995,1.84,Right,2023,0,https://www.padelfip.com/wp-content/uploads/2023/02/Lebron-3.png
Jorge Nieto,ESP,Male,27,18/12/1998,1.75,Left,2023,0,https://www.padelfip.com/wp-content/uploads/2023/02/Coki-Nieto.png
Miguel Yanguas,ESP,Male,23,18/03/2002,1.89,Right,2023,0,https://www.padelfip.com/wp-content/uploads/2023/02/13-YANGUAS.png
Francisco Navarro,ESP,Male,36,10/02/1989,1.81,Left,2023,0,https://www.padelfip.com/wp-content/uploads/2023/02/Paquito-Navarro.png
Leandro Augsburger,ARG,Male,21,11/08/2004,1.90,Left,2023,0,https://www.padelfip.com/wp-content/uploads/2024/11/Augsburger-1.png
Jon Sanz,ESP,Male,25,25/09/2000,1.75,Right,11,0,https://www.padelfip.com/wp-content/uploads/2023/02/Martin-Di-Nenno-2.png
Martin Di Nenno,ARG,Male,28,18/03/1997,1.75,Right,12,0,https://www.padelfip.com/wp-content/uploads/2023/02/Bergamini-2.png
Lucas Bergamini,BRA,Male,28,18/08/1997,1.65,Right,13,0,https://www.padelfip.com/wp-content/uploads/2023/02/Guerrero-3.png
Francisco Guerrero,ESP,Male,22,30/07/2003,1.76,Right,14,0,https://www.padelfip.com/wp-content/uploads/2023/02/Gonzalez-2.png
Jeronimo Gonzalez,ESP,Male,28,21/02/1997,1.80,Left,15,0,https://www.padelfip.com/wp-content/uploads/2023/02/leal-1.png
Javier Leal,ESP,Male,22,28/07/2003,1.75,Left,16,0,https://www.padelfip.com/wp-content/uploads/2023/02/Juan-Tello-2.png
Juan Tello,ARG,Male,31,01/02/1995,1.85,Left,17,0,https://www.padelfip.com/wp-content/uploads/2023/02/Edu-Alonso.png
Eduardo Alonso,ESP,Male,25,08/01/2001,1.80,Right,18,0,https://www.padelfip.com/wp-content/uploads/2024/11/Leo-Aguirre.png
Leonel Daniel Aguirre,ARG,Male,28,23/12/1997,1.80,Right,19,0,https://www.padelfip.com/wp-content/uploads/2024/11/Gonzalo-Alfonso.png
Gonzalo Gabriel Alfonso,ARG,Male,29,30/03/1996,1.70,Left,20,0,https://www.padelfip.com/wp-content/uploads/2023/02/12-RUIZ-1.png
Alejandro Ruiz,ESP,Male,31,12/06/1994,1.87,Right,21,0,https://www.padelfip.com/wp-content/uploads/2023/02/12-RUIZ-1.png
Javier Garrido,ESP,Male,25,26/10/2000,1.84,Left,22,0,https://www.padelfip.com/wp-content/uploads/2023/02/Javier-Garrido.png
Javier Garcia,ESP,Male,25,09/12/2000,1.77,Left,23,0,https://www.padelfip.com/wp-content/uploads/2023/02/Javier-Garcia-1.png
Javier Barahona,ESP,Male,27,17/09/1998,1.79,Right,24,0,https://www.padelfip.com/wp-content/uploads/2023/02/bARAHONA-C.png
Pablo Cardona,ESP,Male,21,03/11/2004,1.88,Right,25,0,https://www.padelfip.com/wp-content/uploads/2023/02/Pablo-Cardona-2.png
Alejandro Arroyo,ESP,Male,24,25/10/2001,1.88,Left,26,0,https://www.padelfip.com/wp-content/uploads/2023/02/Arroyo-2.png
Juanlu Esbri,ESP,Male,25,22/01/2001,1.82,Left,27,0,https://www.padelfip.com/wp-content/uploads/2023/02/41-Juanlu-Esbri-1.png
Lucas Campagnolo,BRA,Male,30,13/06/1995,1.79,Right,28,0,https://www.padelfip.com/wp-content/uploads/2023/02/Lucas-Campagnolo.png
Alex Chozas,ARG,Male,22,18/07/2003,1.86,Left,29,0,https://www.padelfip.com/wp-content/uploads/2023/02/Bautista-1.png
Jairo Bautista,ESP,Male,24,11/07/2001,1.90,Left,30,0,https://www.padelfip.com/wp-content/uploads/2023/02/Bautista-1.png
Carlos Daniel Gutierrez,ARG,Male,41,15/06/1984,1.77,Right,31,0,https://www.padelfip.com/wp-content/uploads/2023/02/Gutierrez-3.png
Inigo Jofre,UAE,Male,25,13/08/2000,1.85,Left,32,0,https://www.padelfip.com/wp-content/uploads/2023/02/INIGO-JOFRE-CENTRALI_.png
Jose Antonio Diestro,ESP,Male,36,01/09/1989,1.83,Right,33,0,https://www.padelfip.com/wp-content/uploads/2023/02/36-Jose-Diestro.png
Victor Ruiz,ESP,Male,36,09/07/1989,1.79,Left,34,0,https://www.padelfip.com/wp-content/uploads/2023/02/18-RUIZ-1.png
David Gala Sanchez,ESP,Male,19,06/02/2006,1.82,Left,35,0,https://www.padelfip.com/wp-content/uploads/2024/11/David-Gala-Sanchez.png
Jose Jimenez Casas,ESP,Male,21,21/02/2004,1.80,Right,36,0,https://www.padelfip.com/wp-content/uploads/2023/02/Jimene.png
Pablo Garcia Rodrigo,ESP,Male,23,23/01/2003,1.88,Right,37,0,https://www.padelfip.com/wp-content/uploads/2023/02/Pablo-Garcia-Rodrigo-3.png
Javier Ruiz,ESP,Male,38,17/06/1987,1.83,Left,1,0,https://www.padelfip.com/wp-content/uploads/2023/02/30-Javier-Ruiz-1.png
Francisco Cabeza Teres,ESP,Male,18,05/12/2007,1.80,Right,1,0,https://www.padelfip.com/wp-content/uploads/2024/11/Cabeza-f.png
Pol Hernandez Alvarez,ESP,Male,21,14/07/2004,1.72,Right,1,0,https://www.padelfip.com/wp-content/uploads/2024/11/Pol-Hernandez-Alvarez.png
