name,country,gender,age,date_of_birth,height,playing_position,points,image
Delfina Brea Senesi,ARG,Female,26,05/12/1999,1.70,Right,0,https://www.padelfip.com/wp-content/uploads/2023/02/Delfina-Brea-Senesi-1.png
Gemma Triay Pons,ESP,Female,33,28/06/1992,1.73,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/Gemma-Triay-Pons.png
Ariana Sanchez Fallada,ESP,Female,28,19/07/1997,1.65,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/Ariana-Sanchez-Fallada-2.png
Paula Josemaria Martin,ESP,Female,29,31/10/1996,1.60,Right,0,https://www.padelfip.com/wp-content/uploads/2023/02/Paula-Josemaria-Martin-2.png
Beatriz Gonzalez Fernandez,ESP,Female,24,23/11/2001,1.74,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/GIOCATORI-SITO-Recuperato-Recuperato-1.png
Claudia Fernandez Sanchez,ESP,Female,19,28/02/2006,1.64,Right,0,https://www.padelfip.com/wp-content/uploads/2023/03/Claudia-Fernandez-2.png
Sofia Araujo,POR,Female,31,30/11/1994,1.72,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/Sofia-Araujo-4.png
Andrea Ustero Prieto,ESP,Female,18,12/05/2007,1.70,Right,0,https://www.padelfip.com/wp-content/uploads/2023/03/Andrea-Ustero-Prieto-1.png
Marta Ortega Gallego,ESP,Female,28,14/02/1997,1.70,Right,0,https://www.padelfip.com/wp-content/uploads/2023/03/Marta-Ortega.png
Tamara Icardo Alcorisa,ESP,Female,30,10/10/1995,1.78,Right,0,https://www.padelfip.com/wp-content/uploads/2023/02/Tamara-Icardo-1.png
Claudia Jensen,ARG,Female,20,21/07/2005,1.58,Right,0,https://www.padelfip.com/wp-content/uploads/2023/03/Alonso.png
Alejandra Alonso De Villa,ESP,Female,19,29/05/2006,1.69,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/Alejandra-Salazar-Bengoechea-2.png
Alejandra Salazar Bengoechea,ESP,Female,40,31/12/1985,1.68,Right,0,https://www.padelfip.com/wp-content/uploads/2024/03/Martina-Calvo-Santamaria-1.png
Martina Calvo Santamaria,ESP,Female,17,05/07/2008,1.66,Left,0,https://www.padelfip.com/wp-content/uploads/2024/01/Veronica-Virseda-1.png
Veronica Virseda,ESP,Female,33,01/07/1992,1.70,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/26-Guinart-1.png
Marina Guinart Espana,ESP,Female,29,30/06/1996,1.78,Right,0,https://www.padelfip.com/wp-content/uploads/2023/02/30-Caldera-1.png
Beatriz Caldera Sanchez,ESP,Female,24,03/09/2001,1.64,Right,0,https://www.padelfip.com/wp-content/uploads/2024/01/21-Goenaga.png
Carmen Goenaga Garcia,ESP,Female,21,23/02/2004,1.67,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/12-Osoro-1.png
Aranzazu Osoro Ulrich,ARG,Female,29,03/06/1996,1.66,Right,0,https://www.padelfip.com/wp-content/uploads/2023/02/20-Iglesias-1.png
Victoria Iglesias Segador,ESP,Female,31,16/05/1994,1.76,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/15-Sainz.png
Lucia Sainz Pelegri,ESP,Female,41,05/10/1984,1.73,Right,0,https://www.padelfip.com/wp-content/uploads/2023/02/15-Sainz.png
Patricia Llaguno Zielinski,ESP,Female,40,25/02/1985,1.67,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/17-Llaguno.png
Jessica Castello Lopez,ESP,Female,28,29/10/1997,1.69,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/10-Castello.png
Raquel Eugenio Barrera,ESP,Female,18,25/01/2008,1.70,Left,0,https://www.padelfip.com/wp-content/uploads/2023/03/Raquel-Eugenio.png
Martina Fassio Goyeneche,ARG,Female,21,26/04/2004,1.65,Left,0,https://www.padelfip.com/wp-content/uploads/2024/01/Martina-Fassio-Goyeneche.png
Lorena Rufo Ortiz,ESP,Female,22,04/08/2003,1.66,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/24-Rufo-3.png
Marta Barrera De La Fuente,ESP,Female,21,05/10/2004,1.69,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/Marta-Barrera-1.png
Jimena Velasco Postiguillo,ESP,Female,21,19/06/2004,1.75,Right,0,https://www.padelfip.com/wp-content/uploads/2023/03/Jimena-Velasco-1.png
Carolina Orsi,ITA,Female,34,04/07/1991,1.78,Right,0,https://www.padelfip.com/wp-content/uploads/2024/01/Carolina-Orsi-1.png
Marta Caparros Maldonado,ESP,Female,24,17/03/2001,1.83,Right,0,https://www.padelfip.com/wp-content/uploads/2023/02/CAPARROS-MARTA-3-centrale.png
Araceli Martinez,ESP,Female,25,28/08/2000,1.62,Left,0,https://www.padelfip.com/wp-content/uploads/2024/01/Araceli-Martinez.png
Noa Canovas Paredes,ESP,Female,21,23/04/2004,1.63,Left,0,https://www.padelfip.com/wp-content/uploads/2023/03/Noa-Canovas-c.png
Ksenia Sharifova,RUS,Female,29,01/05/1996,1.77,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/Ksenia-Sharifova.png
Alix Collombon,FRA,Female,32,17/03/1993,1.74,Right,0,https://www.padelfip.com/wp-content/uploads/2023/02/25-Collombon.png
Virginia Riera,ARG,Female,37,27/09/1988,1.65,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/Virginia-Riera-5.png
Maria Eulalia Rodriguez Abajo,ESP,Female,21,26/09/2004,1.70,Right,0,https://www.padelfip.com/wp-content/uploads/2023/02/Maria-Eulalia-Abajo-centrale.png
Nuria Rodriguez,ESP,Female,31,09/12/1994,1.60,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/23-Nuria.png
Lucia Martinez Gomez,ESP,Female,34,16/05/1991,1.66,Right,0,https://www.padelfip.com/wp-content/uploads/2023/02/Lucia-Martinez-Gomez-1.png
Julieta Evangelina Bidahorria,ARG,Female,34,12/12/1991,1.78,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/Julieta-Bidahorria-1.png
Ana Catarina Nogueira,POR,Female,47,20/09/1978,1.71,Left,0,https://www.padelfip.com/wp-content/uploads/2023/02/Ana-Catarina-Nogueira-2.png
